file,scenario,seed,round,accuracy,macro_f1,fpr_normal,ece,brier,mean_confidence,inference_ms_per_1k,comm_mb_round,family_dos_ddos_recall,family_reconnaissance_recall,family_injection_recall,family_malware_credential_recall,family_mitm_recall,family_normal_recall
kaggle_cti_v01_edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed42.csv,random_cti,42,30,0.5574954846478025,0.440206202226282,0.0473251028806584,0.1204488193464882,0.5762054387086432,0.4370466768741607,0.3796009379262726,0.0858306884765625,0.7963356615042007,0.7403641522818631,0.2233104799216454,0.2565091610414657,0.2839506172839494,0.9526748971193414
kaggle_cti_v01_edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed43.csv,random_cti,43,30,0.5703919642574226,0.4633415046348691,0.0724279835390946,0.135766107158979,0.5758621630302463,0.4346258640289306,0.3909371969957994,0.0858306884765625,0.7960319870432229,0.7708678174509339,0.2384916748285993,0.3666023786563805,0.296296296296295,0.9275720164609051
kaggle_cti_v01_edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed44.csv,random_cti,44,30,0.5616464400012675,0.4481942863044192,0.0524691358024691,0.1250195263987156,0.5785542149175149,0.4366269111633301,0.3755137678644101,0.0858306884765625,0.8076728413807064,0.7420193899266965,0.2306562193927521,0.2611700417872066,0.3086419753086407,0.9475308641975309
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p25_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p25,42,30,0.5826547102252924,0.4642451141574688,0.0419753086419753,0.104076595083193,0.5388888446095658,0.4788520038127899,0.3878132386953523,0.107574462890625,0.8018018018018016,0.8049184204303617,0.2781586679725759,0.2971713275474124,0.2839506172839494,0.9580246913580244
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p5,42,30,0.5849995246997687,0.4677311422183467,0.0419753086419753,0.1068379839066524,0.5388419193719506,0.4783570766448974,0.3883365759372328,0.107574462890625,0.801295677700172,0.805627807992433,0.2775057133529219,0.3122790099646415,0.2839506172839494,0.9580246913580244
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_fedavg_avg_none_label_skew_seed43.csv,reliability_gate_alpha0p5,43,30,0.6011280458823156,0.497418169302841,0.0594650205761316,0.1281107360952582,0.5381368840368328,0.4738642573356628,0.3926365854432889,0.107574462890625,0.7800384654317237,0.8278552849373373,0.3209271955599085,0.4313725490196077,0.296296296296295,0.940534979423868
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_fedavg_avg_none_label_skew_seed44.csv,reliability_gate_alpha0p5,44,30,0.5960264900662252,0.4877281836874955,0.0477366255144032,0.1234790829344278,0.5419881381013273,0.4742007255554199,0.3924078075990506,0.107574462890625,0.8215406417653607,0.7746512177819814,0.2948090107737511,0.3278688524590163,0.3086419753086407,0.9522633744855964
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_drop0p3_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p5_drop0p3,42,30,0.5833835039133053,0.4761422794282722,0.0438271604938271,0.1272644583675177,0.5565427516253211,0.4561190605163574,0.4166962197787021,0.107574462890625,0.793906265816378,0.765902104516434,0.241756447926869,0.3375120540019286,0.954732510288062,0.9561728395061728
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_poison0p2_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p5_poison0p2,42,30,0.5803098957508159,0.47284852385206,0.0662551440329218,0.1222078984167651,0.5576019017905661,0.4581019878387451,0.3950880572887492,0.107574462890625,0.7981577082700677,0.7486403405060297,0.2644466209598432,0.3314046930247508,0.7448559670781862,0.933744855967078
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p75_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p75,42,30,0.5879780728159955,0.4718902904127919,0.0419753086419753,0.1102802342624241,0.5388091413421331,0.4779365956783294,0.4175430146710774,0.107574462890625,0.801295677700172,0.8065736580751949,0.2778321906627489,0.3285117325618771,0.2839506172839494,0.9580246913580244
