seed,cti_mode,delta_accuracy_vs_traffic,delta_macro_f1_vs_traffic,delta_fpr_normal_vs_traffic,delta_ece_vs_traffic,delta_brier_vs_traffic
42,weak_cti_concat,-0.009917931493393262,-0.011801129222184903,0.0032921810699588997,-0.0038253893811514006,0.0173128866459078
42,source_gate,-0.02642669286099053,-0.02543575160415701,0.05740740740740741,-0.0065636178183198,0.03433734933298849
42,random_cti,-0.005259989226528039,-0.017088408320950155,0.001440329218107,-0.0056430302953882,0.00382967220817379
43,weak_cti_concat,0.013149973066320264,0.01318609408970961,-0.0010288065843621994,-0.0029920950069706985,-0.02531211373359779
43,source_gate,0.007351310244304354,0.008834449911649944,0.0030864197530864005,0.0001732182992291026,-0.009960779034059203
43,random_cti,0.008555404163630098,0.007040271913806739,0.005349794238683101,-0.0052904127794072,-0.016727285506843603
44,weak_cti_concat,-0.007066130105516599,-6.05149869947752e-06,0.0,0.0017671961977233988,0.010755122918261195
44,source_gate,-0.00994961817548079,-0.003011991114161394,0.0207818930041152,0.00017358069977549753,0.012645668264341103
44,random_cti,-0.018188155518235716,-0.01158917949576077,0.0133744855967078,-0.004359329421807601,0.027163776901352604
