scenario,n,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,normal_fpr_mean,normal_fpr_std,ece_mean,ece_std,brier_mean,brier_std,mean_confidence_mean,mean_confidence_std,inference_latency_ms_per_1k_mean,inference_latency_ms_per_1k_std
traffic_only,3,0.5619250219787152,0.008695774290827381,0.6024235429890363,0.009003292739733383,0.40355555555555556,0.02171874084065889,0.06199046492102728,0.0042421837390677185,0.4831107570087402,0.006171439267880201,0.5671103795369467,0.000940654771246829,0.3784576521135955,0.21201991104472506
weak_cti_concat,3,0.5725062519914881,0.010832207459130747,0.6153106366608964,0.01132712588138909,0.3111111111111111,0.015338163490433246,0.050909536693457984,0.005396093473536419,0.4663550890336287,0.00821768031253741,0.5955602924029032,0.0009106597401116862,0.2507181509280179,0.01654957288780898
source_gate,3,0.5722102386930308,0.010975038865544686,0.6147977175097775,0.011272011031241314,0.31155555555555553,0.01590713792726512,0.05042992512763383,0.003988708284479841,0.4655707362827316,0.008354676330413558,0.5994887153307596,0.0008145733532881152,0.28710213501778886,0.032079965437143615
random_cti,3,0.5613697398023786,0.008374202132392206,0.6019106238379175,0.008825526348692573,0.4062222222222222,0.020367003088692614,0.05974156208823122,0.003883023498451004,0.48405065360755534,0.006406638676240757,0.5677969654401144,0.0012546494130382547,0.25878156055852697,0.013725144019533923
