seed,scenario,delta_accuracy_vs_traffic,delta_macro_f1_vs_traffic,delta_normal_fpr_vs_traffic,delta_ece_vs_traffic,delta_brier_vs_traffic
42,weak_cti_concat,0.030182675023077365,0.038686571483141696,0.011810810810810812,0.03499427850581299,-0.09982034628239733
42,source_gate,0.06281883107418751,0.06105577279141311,-0.04108108108108105,0.0326034029609001,-0.13118584010660306
42,random_cti,0.002028372929116229,0.012044311982572886,0.004270270270270271,0.0034254157017735015,-6.444972836372465e-05
43,weak_cti_concat,0.028336491279211062,0.039713798666602074,0.014513513513513487,0.031408956611662694,-0.0993621704964871
43,source_gate,0.06226011757275424,0.0634990318054462,-0.038972972972972975,0.028836931898101797,-0.13043243230552404
43,random_cti,-0.0021741242773161695,0.0061810118861077845,0.00651351351351348,-0.0003151716176216929,0.0004383093096905766
44,weak_cti_concat,0.03117864256911046,0.04112930583177751,0.011135135135135199,0.0338665531211675,-0.10008300512486501
44,source_gate,0.06394840402273733,0.06246812330986681,-0.04208108108108105,0.032490859791199894,-0.13116653129876388
44,random_cti,0.0021498323859496238,0.011801519398426802,0.003621621621621607,0.0039105934244254015,-0.000497517762231392
