scenario,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,fpr_normal_mean,fpr_normal_std,ece_mean,ece_std,brier_mean,brier_std,mean_confidence_mean,mean_confidence_std,inference_ms_per_1k_mean,inference_ms_per_1k_std,comm_mb_round_mean,comm_mb_round_std,family_dos_ddos_recall_mean,family_dos_ddos_recall_std,family_reconnaissance_recall_mean,family_reconnaissance_recall_std,family_injection_recall_mean,family_injection_recall_std,family_malware_credential_recall_mean,family_malware_credential_recall_std,family_mitm_recall_mean,family_mitm_recall_std,family_normal_recall_mean,family_normal_recall_std
traffic_only,0.5642764346145315,0.007523768961265176,0.45081908678673943,0.012298134395545833,0.05452674897119336,0.0104655473053741,0.1283539698847281,0.008824344211929661,0.5767217673419656,0.001453941867315386,0.43592246373494464,0.0013281871690826062,0.3698471540079539,0.002972576576271557,0.0652313232421875,0.0,0.8012619360933965,0.007751688967586248,0.750847324032474,0.01787496088237961,0.22788116225922295,0.008496254443142733,0.294546233794064,0.07186725538904885,0.296296296296295,0.012345679012345658,0.9454732510288064,0.010465547305374159
weak_cti_concat,0.6049198855054554,0.0013784010217010047,0.49770780924169067,0.007989079906933816,0.0579561042524005,0.020676026373011733,0.12561199131144749,0.0037966725442751736,0.5359650371433576,0.0015704618895847678,0.4799671769142151,0.001925469848726756,0.3869021515258934,0.009483959324570045,0.0858306884765625,0.0,0.8026790835779599,0.014576842752830325,0.7863955229762748,0.03594334024630772,0.29801937098704967,0.017058504525517795,0.4256937747776705,0.015063448149149537,0.296296296296295,0.012345679012345658,0.9420438957475993,0.020676026373011695
reliability_gate_alpha0p5,0.5940513535494365,0.008243674670857102,0.4842924984028944,0.015138786091030948,0.04972565157750337,0.008912893716112133,0.11947593431211279,0.011187108455213755,0.5396556471700369,0.002050525338627904,0.4754740198453267,0.002502461807478746,0.3911269896598574,0.0024192749705360776,0.107574462890625,0.0,0.8009582616324188,0.020753145479882256,0.8027114369039173,0.026721659860726305,0.29774730656219384,0.021859356483396278,0.3571734704810885,0.06472934604353624,0.296296296296295,0.012345679012345658,0.9502743484224961,0.00891289371611217
random_cti,0.5631779629688308,0.006583233896077736,0.45058066438852346,0.011750815063407914,0.05740740740740737,0.013260035790714416,0.12707815096806094,0.007863413878259493,0.5768739388854681,0.0014652491957847479,0.4360998173554738,0.0012936207402550728,0.3820173009288273,0.007990597547294791,0.0858306884765625,0.0,0.8000134966427099,0.006634924709909448,0.7510837865531644,0.01715345043535378,0.2308194580476656,0.007591913780106713,0.29476052716168427,0.062260498487973874,0.296296296296295,0.012345679012345658,0.9425925925925925,0.01326003579071448
