dataset_name,scenario,seed,accuracy,macro_f1,normal_fpr,ece,brier,mean_confidence,inference_latency_ms_per_1k,train_rows,test_rows,n_features
ciciot2023_rare_sampled,traffic_only,42,0.5976149259472976,0.557335343457297,0.4186666666666667,0.06003826790978115,0.48568040182110356,0.5660344362258911,0.6231050202053249,15599,5199,40
ciciot2023_rare_sampled,weak_cti_concat,42,0.6087709174841316,0.5667250801064966,0.32666666666666666,0.05062893314771088,0.47117657102187677,0.5959826111793518,0.268901519527048,15599,5199,51
ciciot2023_rare_sampled,source_gate,42,0.6083862281207925,0.566242024925323,0.3293333333333333,0.04874220487302852,0.47057384405586383,0.6003450155258179,0.32337276398582837,15599,5199,80
ciciot2023_rare_sampled,random_cti,42,0.5958838238122716,0.5566103853881893,0.424,0.058557372874859605,0.4870141891831423,0.5665013194084167,0.2467093671818226,15599,5199,51
ciciot2023_rare_sampled,traffic_only,43,0.5968455472206193,0.5564856755150227,0.41333333333333333,0.05907582853488865,0.4875821796278206,0.5675195455551147,0.24818465087972455,15599,5199,40
ciciot2023_rare_sampled,weak_cti_concat,43,0.6087709174841316,0.5657910970898434,0.31066666666666665,0.0564404572631607,0.47102214807177567,0.5961831212043762,0.2365360646244606,15599,5199,51
ciciot2023_rare_sampled,source_gate,43,0.608193883439123,0.565512569065447,0.30666666666666664,0.05498505108148736,0.470212522024364,0.599397599697113,0.2624510482736729,15599,5199,80
ciciot2023_rare_sampled,random_cti,43,0.5978072706289671,0.5564597894110108,0.4106666666666667,0.056588507376168384,0.4884389890383668,0.5690061450004578,0.2559251779152451,15599,5199,51
ciciot2023_rare_sampled,traffic_only,44,0.6128101557991922,0.571954046963826,0.37866666666666665,0.06685729831841203,0.47606968957729645,0.567777156829834,0.2640832852557371,15599,5199,40
ciciot2023_rare_sampled,weak_cti_concat,44,0.6283900750144259,0.5850025787781241,0.296,0.045659219669502364,0.45686654800723375,0.5945151448249817,0.2467168686325452,15599,5199,51
ciciot2023_rare_sampled,source_gate,44,0.6278130409694171,0.5848761220883222,0.2986666666666667,0.0475625194283856,0.45592584276796705,0.5987235307693481,0.2754825927938654,15599,5199,80
ciciot2023_rare_sampled,random_cti,44,0.6120407770725139,0.5710390446079356,0.384,0.06407880601366567,0.47669878260115683,0.5678834319114685,0.27371013657851323,15599,5199,51
