file,scenario,seed,round,accuracy,macro_f1,fpr_normal,ece,brier,mean_confidence,inference_ms_per_1k,comm_mb_round,family_dos_ddos_recall,family_reconnaissance_recall,family_injection_recall,family_malware_credential_recall,family_mitm_recall,family_normal_recall,delta_macro_f1_vs_traffic,delta_ece_vs_traffic,delta_fpr_normal_vs_traffic,delta_macro_f1_vs_weak,delta_ece_vs_weak,delta_fpr_normal_vs_weak
kaggle_cti_v01_edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed42.csv,random_cti,42,30,0.5574954846478025,0.440206202226282,0.0473251028806584,0.1204488193464882,0.5762054387086432,0.4370466768741607,0.3796009379262726,0.0858306884765625,0.7963356615042007,0.7403641522818631,0.2233104799216454,0.2565091610414657,0.2839506172839494,0.9526748971193414,0.0006471676656056857,-1.2093888473896364e-05,0.0004115226337449013,-0.04903105909230332,-0.0007880552736743013,0.0034979423868313
kaggle_cti_v01_edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed43.csv,random_cti,43,30,0.5703919642574226,0.4633415046348691,0.0724279835390946,0.135766107158979,0.5758621630302463,0.4346258640289306,0.3909371969957994,0.0858306884765625,0.7960319870432229,0.7708678174509339,0.2384916748285993,0.3666023786563805,0.296296296296295,0.9275720164609051,-0.0006011072814264828,-0.002115053494581298,0.005967078189300409,-0.04176587330356485,0.008208400140153393,-0.0092592592592593
kaggle_cti_v01_edge_iiot_ml_clean_full_random_cti_fedavg_avg_none_label_skew_seed44.csv,random_cti,44,30,0.5616464400012675,0.4481942863044192,0.0524691358024691,0.1250195263987156,0.5785542149175149,0.4366269111633301,0.3755137678644101,0.0858306884765625,0.8076728413807064,0.7420193899266965,0.2306562193927521,0.2611700417872066,0.3086419753086407,0.9475308641975309,-0.0007613275788271867,-0.0017003093669462899,0.0022633744855967003,-0.050584502163633416,-0.0030218658966386924,0.0041152263374485964
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p25_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p25,42,30,0.5826547102252924,0.4642451141574688,0.0419753086419753,0.104076595083193,0.5388888446095658,0.4788520038127899,0.3878132386953523,0.107574462890625,0.8018018018018016,0.8049184204303617,0.2781586679725759,0.2971713275474124,0.2839506172839494,0.9580246913580244,0.024686079596792476,-0.016384318151769092,-0.004938271604938198,-0.02499214716111653,-0.017160279536969497,-0.001851851851851799
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p5,42,30,0.5849995246997687,0.4677311422183467,0.0419753086419753,0.1068379839066524,0.5388419193719506,0.4783570766448974,0.3883365759372328,0.107574462890625,0.801295677700172,0.805627807992433,0.2775057133529219,0.3122790099646415,0.2839506172839494,0.9580246913580244,0.02817210765767042,-0.01362292932830969,-0.004938271604938198,-0.021506119100238585,-0.014398890713510096,-0.001851851851851799
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_fedavg_avg_none_label_skew_seed43.csv,reliability_gate_alpha0p5,43,30,0.6011280458823156,0.497418169302841,0.0594650205761316,0.1281107360952582,0.5381368840368328,0.4738642573356628,0.3926365854432889,0.107574462890625,0.7800384654317237,0.8278552849373373,0.3209271955599085,0.4313725490196077,0.296296296296295,0.940534979423868,0.033475557386545396,-0.009770424558302099,-0.006995884773662593,-0.00768920863559297,0.0005530290764325929,-0.022222222222222303
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_fedavg_avg_none_label_skew_seed44.csv,reliability_gate_alpha0p5,44,30,0.5960264900662252,0.4877281836874955,0.0477366255144032,0.1234790829344278,0.5419881381013273,0.4742007255554199,0.3924078075990506,0.107574462890625,0.8215406417653607,0.7746512177819814,0.2948090107737511,0.3278688524590163,0.3086419753086407,0.9522633744855964,0.03877256980424909,-0.003240752831234095,-0.0024691358024691995,-0.011050604780557138,-0.0045623093609264975,-0.0006172839506173033
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_drop0p3_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p5_drop0p3,42,30,0.5833835039133053,0.4761422794282722,0.0438271604938271,0.1272644583675177,0.5565427516253211,0.4561190605163574,0.4166962197787021,0.107574462890625,0.793906265816378,0.765902104516434,0.241756447926869,0.3375120540019286,0.954732510288062,0.9561728395061728,0.0365832448675959,0.0068035451325556134,-0.0030864197530863988,-0.013094981890313107,0.0060275837473552085,0.0
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p5_poison0p2_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p5_poison0p2,42,30,0.5803098957508159,0.47284852385206,0.0662551440329218,0.1222078984167651,0.5576019017905661,0.4581019878387451,0.3950880572887492,0.107574462890625,0.7981577082700677,0.7486403405060297,0.2644466209598432,0.3314046930247508,0.7448559670781862,0.933744855967078,0.0332894892913837,0.0017469851818030097,0.019341563786008306,-0.016388737466525305,0.0009710237966026047,0.022427983539094705
kaggle_cti_v01_edge_iiot_ml_clean_full_reliability_gate_alpha0p75_fedavg_avg_none_label_skew_seed42.csv,reliability_gate_alpha0p75,42,30,0.5879780728159955,0.4718902904127919,0.0419753086419753,0.1102802342624241,0.5388091413421331,0.4779365956783294,0.4175430146710774,0.107574462890625,0.801295677700172,0.8065736580751949,0.2778321906627489,0.3285117325618771,0.2839506172839494,0.9580246913580244,0.032331255852115603,-0.010180678972537993,-0.004938271604938198,-0.017346970905793402,-0.010956640357738398,-0.001851851851851799
kaggle_cti_v01_edge_iiot_ml_clean_full_traffic_only_fedavg_avg_none_label_skew_seed42.csv,traffic_only,42,30,0.5573687379194524,0.4395590345606763,0.0469135802469135,0.1204609132349621,0.576046334466225,0.4369078278541565,0.3665343958931281,0.0652313232421875,0.7964368863245266,0.7384724521163394,0.2205354227881162,0.2529733204757312,0.2839506172839494,0.9530864197530864,0.0,0.0,0.0,-0.049678226757909005,-0.0007759613852004049,0.0030864197530863988
kaggle_cti_v01_edge_iiot_ml_clean_full_traffic_only_fedavg_avg_none_label_skew_seed43.csv,traffic_only,43,30,0.5722931651826737,0.4639426119162956,0.0664609053497942,0.1378811606535603,0.5757283978410968,0.4344120025634765,0.3722816312315965,0.0652313232421875,0.7971454600668082,0.7713407424923148,0.2371857655892915,0.3775313404050144,0.296296296296295,0.9335390946502056,0.0,0.0,0.0,-0.041164766022138366,0.010323453634734692,-0.01522633744855971
kaggle_cti_v01_edge_iiot_ml_clean_full_traffic_only_fedavg_avg_none_label_skew_seed44.csv,traffic_only,44,30,0.5631674007414683,0.4489556138832464,0.0502057613168724,0.1267198357656619,0.578390569718575,0.4364475607872009,0.3707254348991372,0.0652313232421875,0.810203461888855,0.7427287774887679,0.2259222984002611,0.2531340405014464,0.3086419753086407,0.9497942386831274,0.0,0.0,0.0,-0.04982317458480623,-0.0013215565296924026,0.0018518518518518962
kaggle_cti_v01_edge_iiot_ml_clean_full_weak_cti_concat_fedavg_avg_none_label_skew_seed42.csv,weak_cti_concat,42,30,0.6033461136284419,0.4892372613185853,0.0438271604938271,0.1212368746201625,0.5355343186848954,0.4821092188358307,0.3766624734625783,0.0858306884765625,0.8028140500050611,0.7758335303854338,0.2809337251061051,0.4223722275795563,0.2839506172839494,0.9561728395061728,0.049678226757909005,0.0007759613852004049,-0.0030864197530863988,0.0,0.0,0.0
kaggle_cti_v01_edge_iiot_ml_clean_full_weak_cti_concat_fedavg_avg_none_label_skew_seed43.csv,weak_cti_concat,43,30,0.605912734877531,0.505107377938434,0.0816872427983539,0.1275577070188256,0.5346548762141533,0.4783802330493927,0.388659368167236,0.0858306884765625,0.7880352262374732,0.8264365098131944,0.3150506039830231,0.4421407907425264,0.296296296296295,0.918312757201646,0.041164766022138366,-0.010323453634734692,0.01522633744855971,0.0,0.0,0.0
kaggle_cti_v01_edge_iiot_ml_clean_full_weak_cti_concat_fedavg_avg_none_label_skew_seed44.csv,weak_cti_concat,44,30,0.6055008080103932,0.4987787884680526,0.0483539094650205,0.1280413922953543,0.5377059165310243,0.4794120788574219,0.3953846129478658,0.0858306884765625,0.8171879744913452,0.7569165287301961,0.2980737838720208,0.4125683060109289,0.3086419753086407,0.9516460905349792,0.04982317458480623,0.0013215565296924026,-0.0018518518518518962,0.0,0.0,0.0
