scenario,n,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,normal_fpr_mean,normal_fpr_std,ece_mean,ece_std,brier_mean,brier_std,mean_confidence_mean,mean_confidence_std,comm_mb_round_mean,comm_mb_round_std,inference_ms_per_1k_mean,inference_ms_per_1k_std
traffic_only,3,0.4508190867867395,0.012298134395545824,0.5642764346145315,0.00752376896126515,0.05452674897119342,0.010465547305374088,0.12835396988472814,0.008824344211929638,0.5767217673419656,0.00145394186731537,0.43592246373494464,0.0013281871690825643,0.0652313232421875,0.0,0.31275015051118477,0.003770345717625215
weak_cti_concat,3,0.49770780924169067,0.00798907990693377,0.6049198855054554,0.0013784010217009616,0.057956104252400546,0.02067602637301169,0.1256119913114475,0.0037966725442751537,0.5359650371433576,0.0015704618895847524,0.4799671769142151,0.001925469848726756,0.0858306884765625,0.0,0.32212428572929386,0.0027248949956606597
source_gate_alpha0p5,3,0.4705959537622456,0.02112699450754546,0.5848939024261436,0.012429758225493782,0.04128943758573388,0.007436879336637013,0.11380215508727916,0.016117888573029256,0.5425998468498046,0.002009089968717613,0.47424614429473877,0.0037252388626362407,0.1247406005859375,0.0,0.39651236308761456,0.0667042272394761
random_cti,3,0.45058066438852346,0.011750815063407898,0.5631779629688308,0.006583233896077739,0.05740740740740741,0.013260035790714421,0.12707815096806097,0.00786341387825953,0.5768739388854681,0.0014652491957847604,0.4360998173554738,0.0012936207402550644,0.0858306884765625,0.0,0.3270288665661538,0.004732290900528692
