scenario,n,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,normal_fpr_mean,normal_fpr_std,ece_mean,ece_std,brier_mean,brier_std,mean_confidence_mean,mean_confidence_std,comm_mb_round_mean,comm_mb_round_std,inference_ms_per_1k_mean,inference_ms_per_1k_std
traffic_only,3,0.04847994237122775,0.008252361501025976,0.08915576116691488,0.01752297394112944,0.9552126200274349,0.07686234119869158,0.11650420012638953,0.015668093052173915,0.9751948987822687,0.017605422957368836,0.20181923111279806,0.014989212772576567,0.3527069091796875,0.0,0.817601571660596,0.07993992325029196
weak_cti_concat,3,0.03481018494546082,0.012473706390386181,0.06286637726163694,0.016234686333211887,0.9832647462277092,0.02898630981116637,0.1855120172637111,0.01785808869944889,1.0213097496659485,0.007619254946188643,0.24165493249893188,0.028929739945694425,0.4405975341796875,0.0,0.7615495949377314,0.010508958229242384
source_gate_alpha0p5,3,0.020878861219729577,0.016456801200536338,0.04036883297949871,0.0356499395369751,0.9522633744855967,0.08268226077283526,0.20843649268953332,0.08009714429449276,1.0349187151641708,0.028906442850092046,0.2488053341706594,0.04445497731424131,0.6114959716796875,0.0,0.8238756297715347,0.011329929406809252
random_cti,3,0.035375105824234795,0.005492620159682168,0.0529378835408811,0.007517783578986752,0.9803840877914952,0.02435412132153249,0.1944394417505537,0.036558491405257305,1.0238563590557002,0.01969709926798993,0.24652355909347534,0.029494976714904114,0.4405975341796875,0.0,0.8029558921390151,0.07903595040984221
