scenario,delta_accuracy_vs_traffic,delta_macro_f1_vs_traffic,delta_normal_fpr_vs_traffic,delta_raw_ece_vs_traffic,delta_temp_ece_vs_traffic,delta_raw_brier_vs_traffic,delta_temp_brier_vs_traffic,delta_selected_alpha_vs_traffic,delta_valid_macro_f1_vs_traffic,delta_valid_raw_ece_vs_traffic,delta_macro_f1_vs_source_gate,delta_normal_fpr_vs_source_gate,delta_raw_ece_vs_source_gate,delta_temp_ece_vs_source_gate,delta_raw_brier_vs_source_gate,delta_temp_brier_vs_source_gate,delta_macro_f1_vs_cal_random_source_gate,delta_normal_fpr_vs_cal_random_source_gate,delta_raw_ece_vs_cal_random_source_gate,delta_temp_ece_vs_cal_random_source_gate,delta_raw_brier_vs_cal_random_source_gate,delta_temp_brier_vs_cal_random_source_gate
weak_cti_concat,0.044425820661063375,0.05296948149940969,-0.01649549549549545,0.050840495926751494,0.06278287573103694,-0.10051715016529783,-0.09809089453030628,0.0,0.0521320158846022,0.032568978369947016,-0.028355954639086023,0.047288288288288405,0.015136913308563149,0.0071932970561705695,0.0324600889074933,0.031033403801450254,0.04543604635268786,-0.010297297297297225,0.029623963752209048,0.06102162264269976,-0.10298977528944098,-0.09813967281244973
source_gate,0.07838588479165653,0.08132543613849572,-0.06378378378378385,0.035703582618188345,0.05558957867486638,-0.13297723907279113,-0.12912429833175654,0.0,0.07447136366648621,-0.007044766033710001,0.0,0.0,0.0,0.0,0.0,0.0,0.07379200099177388,-0.05758558558558563,0.014487050443645899,0.05382832558652919,-0.13544986419693428,-0.12917307661389998
cal_source_gate,0.08377463602649426,0.08685782646320153,-0.06957657657657662,0.041499102239813485,0.057888218301949505,-0.1367074520843662,-0.12920986658284106,0.25,0.08146320367747178,0.007227221855909238,0.005532390324705816,-0.005792792792792767,0.005795519621625139,0.0022986396270831266,-0.0037302130115750565,-8.556825108452237e-05,0.0793243913164797,-0.0633783783783784,0.02028257006527104,0.056126965213612316,-0.13918007720850933,-0.1292586448649845
random_cti,0.004461610714343589,0.010052390327860095,-0.0030090090090091337,0.004447209915882072,0.0005277613396499486,-0.00027433227607553956,-0.0002639235420234254,0.0,0.011702055812751466,0.012358659856791271,-0.07127304581063562,0.06077477477477472,-0.03125637270230627,-0.05506181733521643,0.1327029067967156,0.1288603747897331,0.0025189551811382604,0.00318918918918909,-0.016769322258660374,-0.0012334917486872404,-0.002746957400218686,-0.0003127018241668722
cal_random_source_gate,0.004943399893115652,0.007533435146721834,-0.006198198198198224,0.021216532174542446,0.001761253088337189,0.0024726251241431463,4.8778282143446816e-05,-0.5833333333333333,0.008335597125869898,0.025427497785349293,-0.07379200099177388,0.05758558558558563,-0.014487050443645899,-0.05382832558652919,0.13544986419693428,0.12917307661389998,0.0,0.0,0.0,0.0,0.0,0.0
