seed,scenario,delta_macro_f1_vs_traffic,delta_normal_fpr_vs_traffic,delta_raw_ece_vs_traffic,delta_temp_ece_vs_traffic,temp_ece_improvement_vs_raw,temp_brier_improvement_vs_raw
42,weak_cti_concat,0.058590777631282426,-0.018135135135135094,0.050186465011049605,0.063142878206895,-0.007832632569546097,-0.001364238089170522
42,source_gate,0.08165344822996931,-0.0684054054054054,0.0344753702949986,0.05526441606039009,0.0,0.0
42,source_gate_pruned,0.0571066151299571,-0.06500000000000006,0.05376055448058621,0.0745496002459777,0.0,0.0
42,random_cti,0.011417137379237302,-0.001540540540540536,0.004816702743821608,0.0025432696230703947,-0.023062478886142705,-0.0033738708639687864
43,weak_cti_concat,0.05642857895641859,-0.01527027027027017,0.0457796937251357,0.0589284864625549,-0.006705319684197797,-0.0016416915347642336
43,source_gate,0.08358782915583471,-0.06754054054054048,0.029401614173022603,0.0492557265946396,0.0,0.0
43,source_gate_pruned,0.07659914531125359,-0.06835135135135129,0.038486267269665406,0.058340379691282404,0.0,0.0
43,random_cti,0.00748937802612909,-0.0030000000000000027,0.004245526967379704,0.0023343693639648957,-0.021765270025031806,-0.004301444825739242
44,weak_cti_concat,0.0438890879105282,-0.016081081081081083,0.05655529886112759,0.066277244081999,-0.009292898771765187,-0.001274126818972765
44,source_gate,0.07873503102968321,-0.055405405405405395,0.0432337630575064,0.062248607050143,0.0,0.0
44,source_gate_pruned,0.06245031621121999,-0.06491891891891893,0.051487868870472506,0.07050271286310911,0.0,0.0
44,random_cti,0.01125065557821392,-0.0044864864864865295,0.004279387905134602,-0.0032943779853225955,-0.0265886098830938,-0.003852282252557848
