scenario,n,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,normal_fpr_mean,normal_fpr_std,ece_mean,ece_std,brier_mean,brier_std,mean_confidence_mean,mean_confidence_std,inference_latency_ms_per_1k_mean,inference_latency_ms_per_1k_std
traffic_only,3,0.5319769722853248,0.0034331375206061634,0.6540969662602779,0.004455977784378185,0.4202666666666667,0.02541600545588023,0.09091890899961089,0.005543887196048702,0.4568036937180151,0.003085489437312901,0.5684457619984945,0.004619844419061655,0.4926392590540766,0.27694450367071727
weak_cti_concat,3,0.5421335898600143,0.005969547910891884,0.6661941215386069,0.00609638159828755,0.3658666666666667,0.02374980701675981,0.07956945924737052,0.0013136516774560835,0.44238984628346323,0.005311689742747274,0.5924652218818665,0.004832113312872969,0.34897552216308353,0.012427393110732906
source_gate,3,0.5430468177538206,0.006070040832957626,0.6649655042056516,0.006373581060424258,0.3616,0.035308922385142265,0.07525240618856315,0.0019197823961246724,0.4401570642904615,0.005628509577325822,0.601432740688324,0.005552595655647196,0.3721196484269003,0.030160728893819808
random_cti,3,0.5281451235209461,0.0043558740180100145,0.6493715149796806,0.004150872555712655,0.42186666666666667,0.01303124450439534,0.08751394401036232,0.005917525908869684,0.45821267922921477,0.003276603747723815,0.5720349748929342,0.004896465450487885,0.36259729704283294,0.002837385041426591
