dataset,method,aggregator,attack,malicious_ratio,rounds,clients,accuracy,macro_f1,accuracy_delta_vs_clean_avg,macro_f1_delta_vs_clean_avg,fpr_normal,comm_mb_round,avg_round_seconds,skipped_features,file
edge_iiot_ml_full,fedavg,median,update_scale,0.1,10,10,0.4130992743749802,0.2309484818016994,-0.09461643271333064,-0.1511064422996694,0.003703703703703704,0.0652313232421875,0.02308344841003418,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_median_update_scale_mal0p1_label_skew_seed42.json
edge_iiot_ml_full,fedavg,trimmed_mean,update_scale,0.1,10,10,0.4149687886181438,0.23430883916486797,-0.09274691847016703,-0.14774608493650085,0.003703703703703704,0.0652313232421875,0.02261478900909424,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_trimmed_mean_update_scale_mal0p1_label_skew_seed42.json
edge_iiot_ml_full,fedavg,krum,update_scale,0.1,10,10,0.3150289933141101,0.20204941527174675,-0.1926867137742007,-0.18000550882962207,0.5753086419753086,0.0652313232421875,0.023183298110961915,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_krum_update_scale_mal0p1_label_skew_seed42.json
edge_iiot_ml_full,fedavg,avg,update_scale,0.2,10,10,0.46446338603884785,0.32054664749174433,-0.04325232104946297,-0.06150827660962449,0.03065843621399177,0.0652313232421875,0.02312436103820801,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_avg_update_scale_mal0p2_label_skew_seed42.json
edge_iiot_ml_full,fedavg,median,update_scale,0.2,10,10,0.40387844988751226,0.22493996769557936,-0.10383725720079856,-0.15711495640578946,0.003703703703703704,0.0652313232421875,0.02313816547393799,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_median_update_scale_mal0p2_label_skew_seed42.json
edge_iiot_ml_full,fedavg,trimmed_mean,update_scale,0.2,10,10,0.4343927247377927,0.2620743888115811,-0.0733229823505181,-0.1199805352897877,0.003703703703703704,0.0652313232421875,0.02322571277618408,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_trimmed_mean_update_scale_mal0p2_label_skew_seed42.json
edge_iiot_ml_full,fedavg,krum,update_scale,0.2,10,10,0.18311733578377007,0.07443075130675077,-0.3245983713045407,-0.30762417279461807,1.0,0.0652313232421875,0.0239544153213501,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_krum_update_scale_mal0p2_label_skew_seed42.json
edge_iiot_ml_full,fedavg,avg,update_scale,0.3,10,10,0.4916188725878513,0.35225130798441884,-0.01609683450045951,-0.029803616116949982,0.00411522633744856,0.0652313232421875,0.02309272289276123,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_avg_update_scale_mal0p3_label_skew_seed42.json
edge_iiot_ml_full,fedavg,median,update_scale,0.3,10,10,0.41468360847935615,0.2383612188574796,-0.09303209860895467,-0.14369370524388922,0.003703703703703704,0.0652313232421875,0.022680330276489257,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_median_update_scale_mal0p3_label_skew_seed42.json
edge_iiot_ml_full,fedavg,trimmed_mean,update_scale,0.3,10,10,0.4408568078836465,0.29113593215469197,-0.06685889920466431,-0.09091899194667685,0.003703703703703704,0.0652313232421875,0.022592997550964354,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_trimmed_mean_update_scale_mal0p3_label_skew_seed42.json
edge_iiot_ml_full,fedavg,krum,update_scale,0.3,10,10,0.18311733578377007,0.07443075130675077,-0.3245983713045407,-0.30762417279461807,1.0,0.0652313232421875,0.02236917018890381,frame.time; ip.src_host; ip.dst_host; tcp.options; tcp.payload; Attack_label (label-like),04_Results/metrics/edge_iiot_ml_full_fedavg_krum_update_scale_mal0p3_label_skew_seed42.json
