dataset_name,scenario,seed,accuracy,macro_f1,normal_fpr,ece,brier,mean_confidence,inference_latency_ms_per_1k,train_rows,test_rows,n_features
ciciot2023_sampled,traffic_only,42,0.6532463850297704,0.5327137803801647,0.4496,0.09553994875066439,0.4592367594320956,0.5639801621437073,0.8124258576773568,10578,3527,40
ciciot2023_sampled,weak_cti_concat,42,0.6662886305642188,0.5441800264475072,0.392,0.08108577342201705,0.44763776260945015,0.5872915983200073,0.3520538701408101,10578,3527,51
ciciot2023_sampled,source_gate,42,0.6634533597958605,0.542047564212546,0.3952,0.07709721284241187,0.4456497212486024,0.5953023433685303,0.40665324638212297,10578,3527,80
ciciot2023_sampled,random_cti,42,0.653813439183442,0.532693866502703,0.4368,0.09369886276368417,0.4597525339672422,0.566794753074646,0.3649149418705697,10578,3527,51
ciciot2023_sampled,traffic_only,43,0.6589169265664871,0.5349818853900457,0.4048,0.0924449473416667,0.45333318914620246,0.5732057690620422,0.33193563935224546,10578,3527,40
ciciot2023_sampled,weak_cti_concat,43,0.6722426991777715,0.5468107728881452,0.3456,0.0787756059066344,0.43701660119477675,0.5968616008758545,0.33529827049179,10578,3527,51
ciciot2023_sampled,source_gate,43,0.6719591721009356,0.5495544820562948,0.3248,0.07326554020099409,0.43440188890315723,0.6061242818832397,0.3587570173000324,10578,3527,80
ciciot2023_sampled,random_cti,43,0.6487099518003969,0.5240118971607428,0.4128,0.08693687682841972,0.454449798860415,0.5764936804771423,0.359432945842669,10578,3527,51
ciciot2023_sampled,traffic_only,44,0.6501275871845761,0.528235251085764,0.4064,0.08477183090650157,0.45784113257574727,0.5681513547897339,0.3335562801326275,10578,3527,40
ciciot2023_sampled,weak_cti_concat,44,0.6600510348738304,0.5354099702443904,0.36,0.07884699841346013,0.4425151750461628,0.5932424664497375,0.35957442585665056,10578,3527,51
ciciot2023_sampled,source_gate,44,0.6594839807201588,0.537538406992621,0.3648,0.07539446552228346,0.4404195827196247,0.6028715968132019,0.3509486815985456,10578,3527,80
ciciot2023_sampled,random_cti,44,0.6455911539552027,0.5277296068993924,0.416,0.08190609243898309,0.4604357048599872,0.5728164911270142,0.36344400341526006,10578,3527,51
